frame_no,eth_src_address,eth_dst_address,ip_src,ip_dst,tcp_src_port,tcp_dst_port,udp_src_port,udp_dst_port,frame_relative_time,frame_length,frame_arival_time,malicious
2439699,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121107054.523279,96,"Oct  8, 2007 21:40:45.952513000 India Standard Time",0
8691407,00:22:19:20:7b:d3,00:01:02:72:ab:55,192.168.5.122,80.66.211.179,22.0,56055.0,,,-36589223.776503,850,"Jun 13, 2010 02:51:16.699289000 India Standard Time",1
6833918,00:01:02:72:ab:55,00:e0:b1:87:f5:94,68.178.178.97,192.168.1.105,80.0,18498.0,,,-36616899.36286,1434,"Jun 12, 2010 19:10:01.112932000 India Standard Time",0
1157507,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.165,124.13.76.15,,,7600.0,7600.0,779581.237709,1098,"Aug 19, 2011 15:04:41.713501000 India Standard Time",0
8575891,00:09:6b:e9:a9:00,00:e0:b1:87:f5:94,192.168.2.110,69.192.24.88,3902.0,80.0,,,-36592801.88361,60,"Jun 13, 2010 01:51:38.592182000 India Standard Time",1
724932,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.170,213.181.235.63,2211.0,22.0,,,400992.726052,62,"Aug 15, 2011 05:54:53.201844000 India Standard Time",1
7751839,00:01:02:72:ab:55,00:e0:b1:87:f5:94,203.73.24.75,192.168.2.109,80.0,2892.0,,,-36601085.468766,1514,"Jun 12, 2010 23:33:35.007026000 India Standard Time",1
1960257,00:44:66:fc:29:af,00:55:22:af:c6:37,87.229.102.42,172.16.2.12,1991.0,1442.0,,,-121115012.643354,96,"Oct  8, 2007 19:28:07.832438000 India Standard Time",0
9044974,00:01:02:72:ab:55,00:e0:b1:87:f5:94,64.202.188.237,192.168.2.112,443.0,3108.0,,,-36578866.062036,60,"Jun 13, 2010 05:43:54.413756000 India Standard Time",1
2774328,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121103181.611164,96,"Oct  8, 2007 22:45:18.864628000 India Standard Time",0
1315292,aa:aa:aa:aa:aa:aa,aa:aa:aa:aa:aa:aa,209.85.201.114,172.16.0.12,25.0,4143.0,,,-26562173.73908,54,"Oct  7, 2010 04:08:46.736712000 India Standard Time",0
2243271,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.12,89.132.1.151,1680.0,5511.0,,,-121112446.682893,70,"Oct  8, 2007 20:10:53.792899000 India Standard Time",0
7052631,00:01:02:72:ab:55,00:e0:b1:87:f5:94,130.14.29.30,192.168.1.104,50433.0,18734.0,,,-36614295.256477,1514,"Jun 12, 2010 19:53:25.219315000 India Standard Time",0
2042887,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.12,89.132.1.151,1506.0,5511.0,,,-121113629.247486,60,"Oct  8, 2007 19:51:11.228306000 India Standard Time",0
4334723,00:0d:60:96:ae:5c,00:e0:b1:87:f5:94,192.168.4.121,192.168.5.122,49672.0,21.0,,,-36635946.335128,177,"Jun 12, 2010 13:52:34.140664000 India Standard Time",1
4999462,00:01:02:72:ab:55,00:e0:b1:87:f5:94,69.58.181.111,192.168.1.104,443.0,17389.0,,,-36633131.497374,1514,"Jun 12, 2010 14:39:28.978418000 India Standard Time",0
6780355,00:01:02:72:ab:55,00:e0:b1:87:f5:94,207.46.170.10,192.168.2.111,80.0,3580.0,,,-36617919.795674,1514,"Jun 12, 2010 18:53:00.680118000 India Standard Time",0
5865745,00:01:02:72:ab:55,00:e0:b1:87:f5:94,203.73.24.75,192.168.2.109,80.0,4374.0,,,-36629901.399592,1514,"Jun 12, 2010 15:33:19.076200000 India Standard Time",1
1810106,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,68.142.120.174,2805.0,80.0,,,-121112594.407568,60,"Oct  8, 2007 20:08:26.068224000 India Standard Time",0
773810,08:00:27:b5:b7:19,00:1e:49:db:19:c3,147.32.84.170,219.225.135.187,1753.0,22.0,,,416118.57608,62,"Aug 15, 2011 10:06:59.051872000 India Standard Time",1
3482269,00:22:19:20:7b:d3,00:01:02:72:ab:55,192.168.5.122,192.168.4.118,22.0,4599.0,,,-36654540.290989,126,"Jun 12, 2010 08:42:40.184803000 India Standard Time",1
7095467,00:01:02:72:ab:55,00:e0:b1:87:f5:94,207.241.148.80,192.168.2.113,80.0,2709.0,,,-36614144.090104,60,"Jun 12, 2010 19:55:56.385688000 India Standard Time",1
5916720,00:01:02:72:ab:55,00:e0:b1:87:f5:94,64.233.169.136,192.168.1.104,80.0,17677.0,,,-36628796.404985,1484,"Jun 12, 2010 15:51:44.070807000 India Standard Time",0
8592786,00:11:25:bb:1f:cf,00:e0:b1:87:f5:94,192.168.1.101,91.190.170.71,4971.0,80.0,,,-36592144.416566,123,"Jun 13, 2010 02:02:36.059226000 India Standard Time",0
5908525,00:01:02:72:ab:55,00:e0:b1:87:f5:94,69.84.133.138,192.168.2.110,80.0,2539.0,,,-36628855.926152,1434,"Jun 12, 2010 15:50:44.549640000 India Standard Time",1
2419358,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121107310.986823,96,"Oct  8, 2007 21:36:29.488969000 India Standard Time",0
8857259,00:0d:60:96:ac:5e,00:e0:b1:87:f5:94,192.168.3.114,192.168.5.122,1826.0,21.0,,,-36584454.590281,60,"Jun 13, 2010 04:10:45.885511000 India Standard Time",1
2804579,00:44:66:fc:29:af,00:55:22:af:c6:37,195.50.87.130,172.16.2.2,80.0,1097.0,,,-121102862.983587,96,"Oct  8, 2007 22:50:37.492205000 India Standard Time",0
2423338,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121107264.106835,74,"Oct  8, 2007 21:37:16.368957000 India Standard Time",0
2900132,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,195.50.87.130,1097.0,80.0,,,-121101840.163529,74,"Oct  8, 2007 23:07:40.312263000 India Standard Time",0
5682194,00:02:55:7f:70:de,00:e0:b1:87:f5:94,192.168.4.119,69.163.132.48,2134.0,80.0,,,-36631379.633041,60,"Jun 12, 2010 15:08:40.842751000 India Standard Time",0
5096521,00:02:55:bf:75:a9,00:e0:b1:87:f5:94,192.168.2.108,74.55.1.4,2424.0,80.0,,,-36632676.743502,110,"Jun 12, 2010 14:47:03.732290000 India Standard Time",0
2490493,00:44:66:fc:29:af,00:55:22:af:c6:37,172.16.2.2,152.66.249.135,1352.0,22.0,,,-121106373.535529,60,"Oct  8, 2007 21:52:06.940263000 India Standard Time",0
